variant,seed,length_group,num_samples,avg_loc,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA
chunk_infer_off,4,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9642857142857143,1.0,0.9910714285714286,0.0
chunk_infer_off,4,51-100,11,74.0909090909091,1.0,0.33636363636363636,0.8147382920110192,1.0,1.0,0.0
chunk_infer_off,4,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9194495319495319,0.0
chunk_infer_off,4,>100,12,334.75,0.4166666666666667,0.1416666666666667,0.34375,0.4166666666666667,0.4166666666666667,48.0
chunk_infer_off,5,21-50,14,29.714285714285715,1.0,0.32142857142857145,0.9365079365079365,1.0,0.9910714285714286,0.0
chunk_infer_off,5,51-100,11,74.0909090909091,1.0,0.3272727272727272,0.8086776859504131,1.0,1.0,0.0
chunk_infer_off,5,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8922334147334148,0.0
chunk_infer_off,5,>100,12,334.75,0.4166666666666667,0.1416666666666667,0.34375,0.4166666666666667,0.4166666666666667,48.0
chunk_infer_off,6,21-50,14,29.714285714285715,1.0,0.3428571428571428,0.9404761904761905,1.0,0.9910714285714286,0.0
chunk_infer_off,6,51-100,11,74.0909090909091,1.0,0.33636363636363636,0.8147382920110192,1.0,1.0,0.0
chunk_infer_off,6,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_off,6,>100,12,334.75,0.4166666666666667,0.1416666666666667,0.34375,0.4166666666666667,0.4138888888888889,48.0
chunk_infer_off,7,21-50,14,29.714285714285715,1.0,0.3357142857142857,0.9523809523809523,1.0,0.9808673469387755,0.0
chunk_infer_off,7,51-100,11,74.0909090909091,1.0,0.3181818181818182,0.7973140495867768,1.0,1.0,0.0
chunk_infer_off,7,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7435897435897435,0.8409513634513636,0.0
chunk_infer_off,7,>100,12,334.75,0.4166666666666667,0.1416666666666667,0.34375,0.4166666666666667,0.4138888888888889,48.0
chunk_infer_off,8,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9642857142857143,1.0,0.9858333333333332,0.0
