variant,seed,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA,Effort@20%Recall,Recall@1%LOC
chunk_infer_on,4,0.94,0.3379999999999999,0.8472464349376115,0.8440000000000001,0.8691849962207105,0.0,0.0125484406717106,0.1557093425605536
chunk_infer_on,5,0.96,0.34,0.8666451277480689,0.8403333333333333,0.8718538139329806,0.0,0.0131020483484037,0.1487889273356401
chunk_infer_on,6,0.94,0.34,0.8423979500891268,0.8466666666666667,0.8718516628873771,0.0,0.0129175124561727,0.1487889273356401
chunk_infer_on,7,0.94,0.3379999999999999,0.8483979500891268,0.8161904761904762,0.8446881708238851,0.0,0.0127329765639416,0.1522491349480969
chunk_infer_on,8,0.94,0.336,0.8500797682709448,0.8416666666666667,0.8681466742252458,0.0,0.0131020483484037,0.1453287197231834
chunk_infer_on,9,0.94,0.3379999999999999,0.8492464349376115,0.8483333333333334,0.8674968127991939,0.0,0.0118102971027864,0.1695501730103806
sim_off,0,0.92,0.3319999999999999,0.8260013368983958,0.8261904761904763,0.8529765211640212,0.0,0.0127329765639416,0.1522491349480969
sim_off,1,0.94,0.3159999999999999,0.8203575460487227,0.7865000000000001,0.814768433484505,0.0,0.014393799594021,0.1384083044982699
sim_off,2,0.94,0.34,0.847834670231729,0.8473333333333334,0.862286044973545,0.0,0.0140247278095589,0.1349480968858131
sim_off,3,0.94,0.33,0.8440393642305408,0.8233333333333335,0.8508836356764929,0.0,0.0138401919173279,0.1384083044982699
sim_off,4,0.94,0.332,0.8407615864527631,0.8440000000000001,0.8681849962207105,0.0,0.0131020483484037,0.1487889273356401
sim_off,5,0.94,0.3379999999999999,0.846645127748069,0.8383333333333333,0.8693885361552028,0.0,0.0140247278095589,0.1349480968858131
sim_off,6,0.94,0.336,0.8368423945335711,0.8188888888888889,0.8416403533635676,0.0,0.0132865842406348,0.1418685121107266
sim_off,7,0.94,0.3339999999999999,0.842842394533571,0.8161904761904762,0.8389213057445201,0.0,0.0129175124561727,0.1487889273356401
sim_off,8,0.94,0.3279999999999999,0.8415699643493763,0.8416666666666667,0.8656664021164022,0.0,0.0138401919173279,0.1314878892733564
sim_off,9,0.94,0.3279999999999999,0.8345797682709449,0.8473333333333334,0.8625801461325271,0.0,0.0123639047794796,0.1626297577854671
sim_on,0,0.92,0.3319999999999999,0.8260013368983958,0.8261904761904763,0.8529765211640212,0.0,0.0123639047794796,0.1591695501730103
sim_on,1,0.94,0.3179999999999999,0.8216908793820561,0.7881666666666667,0.816937855883094,0.0,0.0138401919173279,0.1418685121107266
sim_on,2,0.96,0.346,0.8651680035650625,0.8505555555555556,0.866754298941799,0.0,0.0136556560250968,0.1384083044982699
sim_on,3,0.96,0.3379999999999999,0.8572942661913252,0.8365,0.8653296075837743,0.0,0.0131020483484037,0.1522491349480969
sim_on,4,0.94,0.3379999999999999,0.8472464349376115,0.8440000000000001,0.8691849962207105,0.0,0.0125484406717106,0.1557093425605536
sim_on,5,0.96,0.34,0.8666451277480689,0.8403333333333333,0.8718538139329806,0.0,0.0131020483484037,0.1487889273356401
sim_on,6,0.94,0.34,0.8423979500891268,0.8466666666666667,0.8718516628873771,0.0,0.0129175124561727,0.1487889273356401
sim_on,7,0.94,0.3379999999999999,0.8483979500891268,0.8161904761904762,0.8446881708238851,0.0,0.0127329765639416,0.1522491349480969
sim_on,8,0.94,0.336,0.8500797682709448,0.8416666666666667,0.8681466742252458,0.0,0.0131020483484037,0.1453287197231834
sim_on,9,0.94,0.3379999999999999,0.8492464349376115,0.8483333333333334,0.8674968127991939,0.0,0.0118102971027864,0.1695501730103806
